Female Athlete,Female DOB,Male Athlete,Male DOB,
Irina Privalova,22/11/1968,Donovan Bailey,16/12/1967,
Florence Griffith Joyner,21/12/1959,Christian Coleman,06/03/1996,
Marita Koch,18/02/1957,Usain Bolt,21/08/1986,
Jarmila Kratochvílová,26/01/1951,Wayde van Niekerk,15/07/1992,
Svetlana Masterkova,17/01/1968,David Rudisha,17/12/1988,
Faith Kipyegon,10/01/1994,Noah Ngeny,02/11/1978,
Jessica Hull,22/10/1996,Hicham El Guerrouj,14/09/1974,
Wang Junxia,19/01/1973,Jakob Ingebrigtsen,19/09/2000,
Gudaf Tsegay,23/06/1997,Joshua Cheptegei,12/09/1996,
Beatrice Chebet,05/03/2000,Grant Holloway,19/11/1997,
Devynne Charlton,26/11/1995,Aries Merritt,24/07/1985,
Tobi Amusan,23/04/1997,Karsten Warholm,28/02/1996,
Sydney McLaughlin-Levrone,07/08/1999,Javier Sotomayor,13/10/1967,
Yaroslava Mahuchikh,19/09/2001,Armand Duplantis,10/11/1999,
Yelena Isinbayeva,03/06/1982,Mike Powell,10/11/1963,
Galina Chistyakova,26/07/1962,Jonathan Edwards,10/05/1966,
Yulimar Rojas,21/10/1995,Ryan Crouser,18/12/1982,
Natalya Lisovskaya,16/07/1962,Mykolas Alekna,28/09/2002,
Gabriele Reinsch,23/09/1963,Yuriy Sedykh,11/06/1955,
Anita Włodarczyk,08/08/1985,Jan Železný,16/06/1966,
Barbora Špotáková,30/06/1981,Bernardo Segura,11/02/1970,
Olimpiada Ivanova,26/08/1970,Yohann Diniz,01/01/1978,
Katie Burnett,07/10/1988,,,
