Event,Performance,Wind,Avg. speed mph (kmph),Pts,Athlete,Nationality,Date,Meeting,Location,Country
50 m,5.56,,20.12 (32.37),1269,Donovan Bailey,CAN,9 Feb 1996,Bill Cosby Invitational,Reno,USA
60 m,6.34,,21.17 (34.07),1304,Christian Coleman,USA,18 Feb 2018,USA Championships,Albuquerque,USA
100 m,9.58,+0.9,23.35 (37.58),1356,Usain Bolt,JAM,16 Aug 2009,World Championships,Berlin,GER
200 m,19.19,−0.3,23.31 (37.52),1352,Usain Bolt,JAM,20 Aug 2009,World Championships,Berlin,GER
200 msh,19.92,,22.46 (36.15),1303,Frankie Fredericks,NAM,18 Feb 1996,Meeting Pas de Calais,Liévin,FRA
400 m,43.03,,20.79 (33.47),1321,Wayde van Niekerk,RSA,14 Aug 2016,Olympic Games,Rio de Janeiro,BRA
400 msh,44.57,,20.076 (32.309),1273,Kerron Clement,USA,12 Mar 2005,NCAA Division I Men's Indoor Championships,Fayetteville,USA
800 m,1:40.91,,17.734 (28.540),1301,David Rudisha,KEN,9 Aug 2012,Olympic Games,London,GBR
800 msh,1:42.67,,17.430 (28.051),1305,Wilson Kipketer,DEN,9 Mar 1997,World Championships,Paris,FRA
1000 m,2:11.96,,16.952 (27.281),1250,Noah Ngeny,KEN,5 Sep 1999,Rieti Meeting,Rieti,ITA
1000 msh,2:14.20,,16.669 (26.826),1274,Ayanleh Souleiman,DJI,17 Feb 2016,Globen Galan,Stockholm,SWE
1500 m,3:26.00,,16.288 (26.214),1302,Hicham El Guerrouj,MAR,14 Jul 1998,Golden Gala,Rome,ITA
1500 msh,3:29.63+,,16.006 (25.760),1306,Jakob Ingebrigtsen,NOR,13 Feb 2025,Meeting Hauts-de-France Pas-de-Calais,Liévin,FRA
Mile,3:43.13,,16.134 (25.965),1292,Hicham El Guerrouj,MAR,7 Jul 1999,Golden Gala,Rome,ITA
Milesh,3:45.14,,15.990 (25.734),1330,Jakob Ingebrigtsen,NOR,13 Feb 2025,Meeting Hauts-de-France Pas-de-Calais,Liévin,FRA
2000 m,4:43.13,,15.80 (25.43),1307,Jakob Ingebrigtsen,NOR,8 Sep 2023,Memorial van Damme,Brussels,BEL
3000 m,7:17.55,,15.337 (24.683),1320,Jakob Ingebrigtsen,NOR,25 Aug 2024,Kamila Skolimowska Memorial,Chorzów,POL
