Event,Performance,Wind,Avg. speed mph (kmph),Pts,Athlete,Nationality,Date,Meeting,Location,Country
60 m,6.92,,19.40 (31.21),1248,Irina Privalova,RUS,11 Feb 1993,,Madrid,ESP
60 m,6.92,,19.40 (31.21),1248,Irina Privalova,RUS,9 Feb 1995,,Madrid,ESP
100 m,10.49,0.0,21.32 (34.32),1314,Florence Griffith Joyner,USA,16 Jul 1988,US Olympic Trials,Indianapolis,USA
200 m,21.34,+1.3,20.97 (33.74),1308,Florence Griffith Joyner,USA,29 Sep 1988,Olympic Games,Seoul,KOR
200 msh,21.87,,20.46 (32.92),1288,Merlene Ottey,JAM,13 Feb 1993,Meeting Pas de Calais,Liévin,FRA
400 m,47.60,,18.80 (30.25),1304,Marita Koch,GDR,6 Oct 1985,World Cup,Canberra,AUS
400 msh,49.17,,18.198 (29.286),1272,Femke Bol,NED,2 Mar 2024,World Championships,Glasgow,GBR
800 m,1:53.28,,15.80 (25.42),1286,Jarmila Kratochvílová,TCH,26 Jul 1983,,Munich,FRG
800 msh,1:55.82,,15.451 (24.866),1255,Jolanda Čeplak,SLO,3 Mar 2002,European Championships,Vienna,AUT
1000 m,2:28.98,,15.015 (24.164),1251,Svetlana Masterkova,RUS,23 Aug 1996,Memorial Van Damme,Brussels,BEL
1000 msh,2:30.94,,14.82 (23.851),1246,Maria Mutola,MOZ,25 Feb 1999,GE Galan,Stockholm,SWE
1500 m,3:49.04,,14.650 (23.577),1295,Faith Kipyegon,KEN,7 Jul 2024,Meeting de Paris,Paris,FRA
1500 msh,3:53.09,,14.395 (23.167),1285,Gudaf Tsegay,ETH,9 Feb 2021,Meeting Hauts-de-France Pas-de-Calais,Liévin,FRA
Mile,4:07.64,,14.537 (23.395),1286,Faith Kipyegon,KEN,21 Jul 2023,Herculis,Monaco,MON
Milesh,4:13.31,,14.212 (22.872),1273,Genzebe Dibaba,ETH,17 Feb 2016,Globen Galan,Stockholm,SWE
Mile (road),4:20.98,,13.714 (22.071),1185,Diribe Welteji,ETH,1 Oct 2023,World Road Running Championships,Riga,LAT
2000 m,5:19.70,,13.994 (22.521),1252,Jessica Hull,AUS,12 Jul 2024,Herculis,Monaco,MON
3000 m,8:06.11,,13.805 (22.217),1293,Wang Junxia,CHN,13 Sep 1993,Chinese National Games,Beijing,CHN
3000 msh,8:16.60,,13.514 (21.748),1281,Genzebe Dibaba,ETH,6 Feb 2014,XL Galan,Stockholm,SWE
5000 m,14:00.21,,13.312 (21.423),1282,Gudaf Tsegay,ETH,17 Sep 2023,Prefontaine Classic,Eugene,USA
5000 msh,14:18.86,,13.023 (20.958),1270,Genzebe Dibaba,ETH,19 Feb 2015,XL Galan,Stockholm,SWE
5 km(road),14:13.00,,13.11 (21.10),1256,Beatrice Chebet,KEN,31 Dec 2023,Cursa dels Nassos,Barcelona,ESP
"10,000 m",28:54.14,,12.899 (20.760),1309,Beatrice Chebet,KEN,25 May 2024,Prefontaine Classic,Eugene,USA
10 km(road),28:46.00,,12.96 (20.86),1317,Agnes Ngetich,KEN,14 Jan 2024,10K Valencia Ibercaja,Valencia,ESP
One hour(track),"18,930 m",,11.763 (18.930),N/A,Sifan Hassan,NED,4 Sep 2020,Diamond League,Brussels,BEL
Half marathon,1:02:52,,12.512 (20.135),1281,Letesenbet Gidey,ETH,24 Oct 2021,Valencia Half Marathon,Valencia,ESP
Marathon[e],2:09:56.00,,12.107 (19.485),1339,Ruth Chepng'etich,KEN,13 Oct 2024,Chicago Marathon,Chicago,USA
